CAS	InChIKey	Pubchem_CID	CanonicalSMILES
104987-11-3	QJJXYPPXXYFBGM-UHFFFAOYSA-N	5372	CC1CC(C2C(CC(C(O2)(C(=O)C(=O)N3CCCCC3C(=O)OC(C(C(CC(=O)C(C=C(C1)C)CC=C)O)C)C(=CC4CCC(C(C4)OC)O)C)O)C)OC)OC
105-08-8	YIMQCDZDWXUDCA-UHFFFAOYSA-N	7735	C1CC(CCC1CO)CO
105-11-3	LLWADFLAOKUBDR-UHFFFAOYSA-N	7207	CC1=C(C=CC(=C1)Cl)OCCCC(=O)O
105-16-8	SJIXRGNQPBQWMK-UHFFFAOYSA-N	61012	CCN(CC)CCOC(=O)C(=C)C
105-30-6	PFNHSEQQEPMLNI-UHFFFAOYSA-N	7745	CCCC(C)CO
105-37-3	WXNZTHHGJRFXKQ-UHFFFAOYSA-N	4684	C1=CC(=CC=C1O)Cl
105-39-5	VEUUMBGHMNQHGO-UHFFFAOYSA-N	7751	CCOC(=O)CCl
105-41-9	YAHRDLICUYEDAU-UHFFFAOYSA-N	7753	CCC(C)CC(C)N
10544-72-6	WFPZPJSADLPSON-UHFFFAOYSA-N	25352	[N+](=O)([N+](=O)[O-])[O-]
105-45-3	WRQNANDWMGAFTP-UHFFFAOYSA-N	7757	CC(=O)CC(=O)OC
105512-06-9	JBDHZKLJNAIJNC-LLVKDONJSA-N	92431	CC(C(=O)OCC#C)OC1=CC=C(C=C1)OC2=NC=C(C=C2F)Cl
105-54-4	MOZDKDIOPSPTBH-UHFFFAOYSA-N	7180	C1=CC=C(C=C1)COC(=O)C2=CC=C(C=C2)O
105-55-5	FLVIGYVXZHLUHP-UHFFFAOYSA-N	2735009	CCNC(=S)NCC
105-56-6	FJKROLUGYXJWQN-UHFFFAOYSA-N	135	C1=CC(=CC=C1C(=O)O)O
105-57-7	DHKHKXVYLBGOIT-UHFFFAOYSA-N	7765	CCOC(C)OCC
105-58-8	OIFBSDVPJOWBCH-UHFFFAOYSA-N	7766	CCOC(=O)OCC
105-59-9	CRVGTESFCCXCTH-UHFFFAOYSA-N	7767	CN(CCO)CCO
105-60-2	OKKJLVBELUTLKV-UHFFFAOYSA-N	887	CO
105-64-6	BWJUFXUULUEGMA-UHFFFAOYSA-N	7769	CC(C)OC(=O)OOC(=O)OC(C)C
105-67-9	KUFFULVDNCHOFZ-UHFFFAOYSA-N	7771	CC1=CC(=C(C=C1)O)C
105735-71-5	WAAHHGKGQYVTNS-UHFFFAOYSA-N	60018	C1=CC2=C(C=CC3=C2C(=C1)C4=C3C=CC=C4[N+](=O)[O-])[N+](=O)[O-]
105-87-3	HIGQPQRQIQDZMP-UHFFFAOYSA-N	7780	CC(=CCCC(=CCOC(=O)C)C)C
10588-01-9	KIEOKOFEPABQKJ-UHFFFAOYSA-N	25408	[O-][Cr](=O)(=O)O[Cr](=O)(=O)[O-].[Na+].[Na+]
10595-95-6	RTDCJKARQCRONF-UHFFFAOYSA-N	25418	CCN(C)N=O
10605-21-7	OKKJLVBELUTLKV-UHFFFAOYSA-N	887	CO
106-22-9	QMVPMAAFGQKVCJ-JTQLQIEISA-N	7793	CC(CCC=C(C)C)CCO
106-23-0	NEHNMFOYXAPHSD-UHFFFAOYSA-N	7794	CC(CCC=C(C)C)CC=O
106-24-1	GLZPCOQZEFWAFX-UHFFFAOYSA-N	4458	CC(=CCCC(=CCO)C)C
106-25-2	GLZPCOQZEFWAFX-UHFFFAOYSA-N	4458	CC(=CCCC(=CCO)C)C
106-31-0	YHASWHZGWUONAO-UHFFFAOYSA-N	7798	CCCC(=O)OC(=O)CCC
106-35-4	NGAZZOYFWWSOGK-UHFFFAOYSA-N	7802	CCCCC(=O)CC
106-41-2	GZFGOTFRPZRKDS-UHFFFAOYSA-N	7808	C1=CC(=CC=C1O)Br
106-42-3	QCDYQQDYXPDABM-UHFFFAOYSA-N	359	C1=C(C=C(C=C1O)O)O
106-44-5	IWDCLRJOBJJRNH-UHFFFAOYSA-N	2879	CC1=CC=C(C=C1)O
1064-48-8	HKBVRFLHNUEVRO-AXSRUCDFSA-L	5359556	C1=CC=C(C=C1)NN=C2C(=CC3=CC(=C(C(=C3C2=O)N)N=NC4=CC=C(C=C4)[N+](=O)[O-])S(=O)(=O)[O-])S(=O)(=O)[O-].[Na+].[Na+]
106-45-6	WLHCBQAPPJAULW-UHFFFAOYSA-N	7811	CC1=CC=C(C=C1)S
106-46-7	OCJBOOLMMGQPQU-UHFFFAOYSA-N	4685	C1=CC(=CC=C1Cl)Cl
106-47-8	WMFOQBRAJBCJND-UHFFFAOYSA-M	3939	[Li+].[OH-]
106-48-9	WXNZTHHGJRFXKQ-UHFFFAOYSA-N	4684	C1=CC(=CC=C1O)Cl
106-49-0	RZXMPPFPUUCRFN-UHFFFAOYSA-N	7813	CC1=CC=C(C=C1)N
106-50-3	GEYOCULIXLDCMW-UHFFFAOYSA-N	7243	C1=CC=C(C(=C1)N)N
106-51-4	AZQWKYJCGOJGHM-UHFFFAOYSA-N	4650	C1=CC(=O)C=CC1=O
1066-30-4	WYYQVWLEPYFFLP-UHFFFAOYSA-K	14012	CC(=O)[O-].CC(=O)[O-].CC(=O)[O-].[Cr+3]
1066-33-7	ATRRKUHOCOJYRX-UHFFFAOYSA-N	14013	C(=O)(O)[O-].[NH4+]
106-63-8	CFVWNXQPGQOHRJ-UHFFFAOYSA-N	7819	CC(C)COC(=O)C=C
1066-45-1	KWTSZCJMWHGPOS-UHFFFAOYSA-M	14016	C[Sn](C)(C)Cl
106-68-3	PZFMWYNHJFZBPO-UHFFFAOYSA-N	12280	C1=C(C=C(C=C1Br)Br)O
106-71-8	AEPWOCLBLLCOGZ-UHFFFAOYSA-N	7825	C=CC(=O)OCCC#N
1067-33-0	JJLKTTCRRLHVGL-UHFFFAOYSA-L	9798523	CCCC[Sn+2]CCCC.CC(=O)[O-].CC(=O)[O-]
