ChemIndex	InChIKey	CASRN	CanonicalSMILES
77	NNNQBXJIPZUPCM-OQKWZONESA-N	None	CC(=O)\C(=C/c1ccccc1)\Oc2ccccc2OCCCNC(C)(C)C
78	PQZWNBLGQBEMQZ-WYMLVPIESA-N	None	COC(=O)\C(=C/1\SCC(=O)N1c2ccccc2)\C(=O)Nc3nccs3
79	UIDOJGIFVOOMLY-UHFFFAOYSA-N	None	CC(CCCc1ccc(F)cc1)c2cc(O)c3C4=C(CCN(CC#C)C4)C(C)(C)Oc3c2
80	SHYNDRFDWSPPSU-SPIKMXEPSA-N	None	OC(=O)CCCCN1CCN(CCOC(c2ccccc2)c3ccc(F)cc3)CC1.OC(=O)\C=C/C(=O)O.OC(=O)\C=C/C(=O)O
81	SVONRAPFKPVNKG-UHFFFAOYSA-N	111-15-9	CCOCCOC(=O)C
82	DBCFNSDAEAWUNJ-UHFFFAOYSA-N	None	Cl.Cl.CSCCNCCN
83	NMQLELPBUYIVOY-UHFFFAOYSA-N	None	CCC(=O)N1CCN(CC1)C2=Nc3cc(F)ccc3Nc4cscc24
84	FZENGILVLUJGJX-UHFFFAOYSA-N	107-29-9	CC=NO
85	XRTGPAZJEJEHNF-INTCKJDQSA-N	None	CC(C)Cc1ccc(cc1)C(C)C(=O)OC[C@@H]2C[C@H](Cl)C[C@@H](O2)c3cccc4ccccc34
86	IVYNIYYTFLHWEX-UHFFFAOYSA-N	None	CN1CCC2C(CCCC2NC(=O)c3ccccc3)C1
87	XGVGOEIUXUBDFQ-UHFFFAOYSA-N	None	[Cl-].O=C1Nc2ccccc2n3c(nc(c4ccccc4)c13)c5ccc[n+](Cc6ccccc6)c5
88	HNXQHHVVANDSEC-UHFFFAOYSA-N	None	OC1=C(C2CCCC2)C(=O)C(=O)c3ccccc13
89	AZDIXEXNLJMBJO-UHFFFAOYSA-L	138-93-2	C(#N)N=C([S-])[S-].[Na+].[Na+]
90	XFWKEFHMUGMJLM-UHFFFAOYSA-N	None	OC1CCCc2nc3ccccc3c(NCc4ccccc4Cl)c12
91	ITHHMPLHGBBWAA-UHFFFAOYSA-N	None	C[S+]([O-])c1nnc(c2ccc(C)cc2)n1C
92	HEZNVIYQEUHLNI-UHFFFAOYSA-N	29973-13-5	CCSCC1=CC=CC=C1OC(=O)NC
93	WDVSHHCDHLJJJR-UHFFFAOYSA-N	92-62-6	C1=CC(=CC2=NC3=C(C=CC(=C3)N)C=C21)N
94	LNWDBNKKBLRAMH-UHFFFAOYSA-N	36088-22-9	C1=CC2=C(C(=C1)Cl)OC3=C(O2)C(=C(C(=C3Cl)Cl)Cl)Cl
95	IMZKPXVXJJELAE-HOLUKZPASA-M	None	[Na+].CCCC(=O)O[C@@H]1[C@@H]2OP(=O)([O-])OC[C@H]2O[C@H]1n3c(SC)nc4c(N)ncnc34
96	NHWQMJMIYICNBP-UHFFFAOYSA-N	None	Clc1ccccc1C#N
97	FABPRXSRWADJSP-MEDUHNTESA-N	None	COc1c(N2C[C@@H]3CCCN[C@@H]3C2)c(F)cc4C(=O)C(=CN(C5CC5)c14)C(=O)O
98	IMUDHTPIFIBORV-UHFFFAOYSA-N	140-31-8	C1CN(CCN1)CCN
99	ROMXEVFSCNLHAB-UHFFFAOYSA-N	None	CCCC(C)c1ccccc1O
100	FBCQUCJYYPMKRO-UHFFFAOYSA-N	96-05-9	CC(=C)C(=O)OCC=C
101	JXOHGGNKMLTUBP-UHFFFAOYSA-N	138-59-0	C1C(C(C(C=C1C(=O)O)O)O)O
102	UFMQKUNWUGNPCQ-UHFFFAOYSA-N	None	CC1=CC(N=C(NN2C(=O)c3cccc4cccc(C2=O)c34)N1)c5ccccc5
103	PNTYWMCFKKJDAA-UHFFFAOYSA-N	None	CC(C)c1cc(C)cc(C(C)C)c1O
104	TXQJJRLMPBAVLC-DWXBKDDSSA-N	None	CC(C)C1=C[C@H]2OC3(CCC(CC3)NCCNc4ccnc5cc(Cl)ccc45)OO[C@@]2(C)CC1.O[N+](=O)[O-]
105	HMNVDJJGLGERID-UHFFFAOYSA-N	None	[Br-].CCCCCC[n+]1cccc(c1)c2nc(c3ccccc3)c4C(=O)Nc5ccccc5n24
106	QNJZKUSPDWJXST-UHFFFAOYSA-N	None	CC\N=C(/Nc1cc(C)nc2ccccc12)\Nc3nccs3
107	CCCMYBZGMWPGAX-UHFFFAOYSA-N	None	COC(=O)NC1=NC(CN1)c2ccc(O)cc2
108	ZHCJUZJGMJDUKJ-UHFFFAOYSA-M	2235-25-8	CC[Hg+].OP(=O)(O)[O-]
109	PLUBXMRUUVWRLT-UHFFFAOYSA-N	62-50-0	CCOS(=O)(=O)C
110	HKMPZFKQVZYOEM-UHFFFAOYSA-N	None	FC(F)(F)Sc1cccc(Nc2ncccc2C(=O)OCCN3CCN(CC3)c4cccc(c4)C(F)(F)F)c1
111	QSCQOXMIFSONAX-YANBTOMASA-N	None	CCCCCCCNC(=O)Oc1ccc2CC3N(CCC)CC[C@@]3(C)c2c1
112	PJGBEALJNGSGMY-UHFFFAOYSA-N	None	OC1=CSC(=N)N1c2sc3CCCCc3c2C#N
113	KXKVLQRXCPHEJC-UHFFFAOYSA-N	79-20-9	CC(=O)OC
114	WNYADZVDBIBLJJ-UHFFFAOYSA-N	930-55-2	C1CCN(C1)N=O
115	PPNXXZIBFHTHDM-UHFFFAOYSA-N	20859-73-8	[Al]#P
116	TXUGZLRUFAAHAO-LFIBNONCSA-N	None	CN(C)CCOC(=O)CO\N=C(/C)\c1ccc(Cl)cc1
117	VPRVAVBFDXZVEL-UHFFFAOYSA-N	None	O=C(C1CCN(CCc2ccccc2)CC1)c3nc4ccccc4s3
118	DFBKLUNHFCTMDC-UHFFFAOYSA-N	60-57-1	C1C2C3C(C1C4C2O4)C5(C(=C(C3(C5(Cl)Cl)Cl)Cl)Cl)Cl
119	SAADBVWGJQAEFS-UHFFFAOYSA-N	17617-23-1	CCN(CC)CCN1C(=O)CN=C(C2=C1C=CC(=C2)Cl)C3=CC=CC=C3F
120	APUDBKTWDCXQJA-UHFFFAOYSA-N	693-36-7	CC1CCCC(N1CCCC(C2=CC=CC=C2)(C3=CC=CC=N3)O)C
121	RQKFYFNZSHWXAW-UHFFFAOYSA-N	95-74-9	CC1=C(C=C(C=C1)N)Cl
122	UKXSKSHDVLQNKG-UHFFFAOYSA-N	76-93-7	C1=CC=C(C=C1)C(C2=CC=CC=C2)(C(=O)O)O
123	RWQKHEORZBHNRI-UHFFFAOYSA-N	303-47-9	CC1CC2=C(C=C(C(=C2C(=O)O1)O)C(=O)NC(CC3=CC=CC=C3)C(=O)O)Cl
124	LYMOUSZDUXXWAH-UHFFFAOYSA-N	None	CC(C)CSc1cncc(OS(=O)(=O)C)c1
125	GRSZCRMDXUHRRS-UHFFFAOYSA-N	None	COc1ccccc1N2CCN(CCCOC3=NN(C)C(=O)c4c(C)n(c(C)c34)c5ccccc5)CC2
126	HFBMWMNUJJDEQZ-UHFFFAOYSA-N	814-68-6	C=CC(=O)Cl
127	KXJBLJPXOPSSER-UHFFFAOYSA-N	None	CCc1cc2C(=Nc3cc(F)ccc3Nc2s1)NCCCN4CCOCC4
