chemical_index	chemical_id	InChI_Key
297	ZINC00008741	CYVRFHRDWQAJGA-UHFFFAOYSA-N
298	ZINC00008750	MRFOLGFFTUGAEB-UHFFFAOYSA-M
299	ZINC00008765	YWERKLDMXHCBDE-UHFFFAOYSA-O
300	ZINC00008767	KYSFUHHFTIGRJN-UHFFFAOYSA-N
301	ZINC00008768	VQWGYPVNVICKFC-UHFFFAOYSA-O
302	ZINC00008795	UONHLVCQYSKINY-SNVBAGLBSA-O
303	ZINC00008815	HOQAVGZLYRYHSO-OAHLLOKOSA-N
304	ZINC00008854	LKDFVWFXUKMAES-UHFFFAOYSA-N
305	ZINC00008926	SAOYLNAVCBAISK-LJQANCHMSA-N
306	ZINC00008960	UYJZZVDLGDDTCL-UHFFFAOYSA-O
307	ZINC00008977	KZOBYFBUONCLFZ-UHFFFAOYSA-N
308	ZINC00009064	ZCMFEWUYBFMLIN-UHFFFAOYSA-M
309	ZINC00009073	VMWNQDUVQKEIOC-CYBMUJFWSA-O
310	ZINC00009090	JZRMBDHPALEPDM-UHFFFAOYSA-O
311	ZINC00009096	WBYHTZYHAFNBKW-ZETCQYMHSA-O
312	ZINC00009200	FHJRKGXJBXPBGA-UHFFFAOYSA-N
313	ZINC00009252	GDHNBPHYVRHYCC-PLNGDYQASA-N
314	ZINC00009295	MYKOWOGZBMOVBJ-UHFFFAOYSA-M
315	ZINC00009308	BAAILVWEAXFTSF-UHFFFAOYSA-N
316	ZINC00009342	KYYIDSXMWOZKMP-OAHLLOKOSA-O
317	ZINC00009344	BDCBRQYHYNUWAM-UHFFFAOYSA-N
318	ZINC00009350	BPPGPYJBCVXILI-UHFFFAOYSA-O
319	ZINC00009357	LCFKIGOGPZGTMF-UHFFFAOYSA-N
320	ZINC00009689	OELFLUMRDSZNSF-OFLPRAFFSA-M
321	ZINC00009708	CQXADFVORZEARL-UHFFFAOYSA-O
322	ZINC00009851	HOZUXBLMYUPGPZ-UHFFFAOYSA-N
323	ZINC00009880	PMPDDPJYARBNGV-UHFFFAOYSA-N
324	ZINC00010037	JIXIGSQBNJKHBP-UHFFFAOYSA-N
325	ZINC00010228	TYJCBFXVIVLSKL-UHFFFAOYSA-N
326	ZINC00010251	NNDSASCFEHXSQG-UHFFFAOYSA-N
327	ZINC00010402	ZGUGWUXLJSTTMA-UHFFFAOYSA-O
328	ZINC00011012	OZWKMVRBQXNZKK-NSHDSACASA-M
329	ZINC00011112	VYZPEWUEPPGXGA-UHFFFAOYSA-P
330	ZINC00011622	VJDNUCLKCQKXMM-OAHLLOKOSA-N
331	ZINC00011665	HLRBSTGXOFUEHW-OAHLLOKOSA-O
332	ZINC00011988	BISIFJGUTDFVFR-NSHDSACASA-O
333	ZINC00012342	HCZKYJDFEPMADG-TXEJJXNPSA-N
334	ZINC00012346	JTEGQNOMFQHVDC-NKWVEPMBSA-N
335	ZINC00012513	FRZBEYVOLNQETR-UHFFFAOYSA-N
336	ZINC00012514	KCGLTUBCAGZLHP-XYOKQWHBSA-N
337	ZINC00012687	VNZLQLYBRIOLFZ-UHFFFAOYSA-O
338	ZINC00012808	NUIQGOIIFWLRQL-UHFFFAOYSA-N
339	ZINC00013246	YQUVCSBJEUQKSH-UHFFFAOYSA-M
340	ZINC00013635	ZXUYYZPJUGQHLQ-KRWDZBQOSA-O
341	ZINC00013748	HPMRFMKYPGXPEP-SNVBAGLBSA-O
342	ZINC00014006	TVZCRIROJQEVOT-LSDHHAIUSA-N
343	ZINC00014007	METKIMKYRPQLGS-GFCCVEGCSA-O
344	ZINC00014036	CDRPUGZCRXZLFL-OWOJBTEDSA-N
345	ZINC00014037	GJJFMKBJSRMPLA-HIFRSBDPSA-O
346	ZINC00014092	RCYLUNPFECYGDW-WMZOPIPTSA-N
347	ZINC00014360	KQKPFRSPSRPDEB-UHFFFAOYSA-O
348	ZINC00014362	GIXQASIEVHMYQH-UHFFFAOYSA-N
349	ZINC00014479	YTISFYMPVILQRL-UHFFFAOYSA-N
350	ZINC00014556	AFOFVIBWSLOHFR-GOOCMWNKSA-O
351	ZINC00014669	UYNVMODNBIQBMV-KKSFZXQISA-O
352	ZINC00014864	BCEHBSKCWLPMDN-MGPLVRAMSA-N
353	ZINC00015095	LIETVYHJBSLSSW-NSHDSACASA-N
354	ZINC00015250	YJRFSGBALGYJAS-UHFFFAOYSA-M
355	ZINC00015333	USOXQZNJFMKTKJ-XVNBXDOJSA-N
356	ZINC00015335	HKHOVJYOELRGMV-XYOKQWHBSA-N
357	ZINC00015515	ULSDMUVEXKOYBU-ZDUSSCGKSA-O
358	ZINC00015872	PWZDJIUQHUGFRJ-UHFFFAOYSA-O
359	ZINC00016154	PCOBBVZJEWWZFR-UHFFFAOYSA-N
360	ZINC00016356	HAUXRJCZDHHADG-UHFFFAOYSA-M
361	ZINC00016359	ZRYZBEQILKESAW-UHFFFAOYSA-N
362	ZINC00016380	NNRSVGLUJAPMQD-UHFFFAOYSA-O
363	ZINC00016616	KTEPQLOOQDLKHF-BQBZGAKWSA-O
364	ZINC00016827	YLJREFDVOIBQDA-UHFFFAOYSA-O
365	ZINC00016912	USFUFHFQWXDVMH-UHFFFAOYSA-N
366	ZINC00016978	VOPNWXZDJKCCRE-UHFFFAOYSA-N
367	ZINC00017024	IFTBWNUUCSQRDJ-UHFFFAOYSA-N
368	ZINC00017028	JVPXYKUMAHPCRQ-UHFFFAOYSA-N
369	ZINC00017086	YERQOXAYAFWFEJ-UHFFFAOYSA-O
