InChI Key	SMILES
LIFDPEORUVTOCP-UHFFFAOYSA-N	CCCC(=O)N(Cc1c(nc2n1cccc2)c1ccc(cc1)Cl)C
WIQRCHMSJFFONW-HNNXBMFYSA-O	[NH3+]CC[C@@H](c1ccccc1)Oc1ccc(cc1)C(F)(F)F
MZRKHUUDDHJVHS-AGUYFDCRSA-O	CCn1c(=O)n(c2c1cccc2)C(=O)NC1C[C@@H]2CC[C@H](C1)[NH+]2C
WHXMKTBCFHIYNQ-VIFPVBQESA-N	N#CC(=NNc1ccc(cc1)C1=NNC(=O)C[C@@H]1C)C#N
HHHDJHHNEURCNV-UHFFFAOYSA-N	Clc1ccc(cc1)S(=O)(=O)N
JRCSIJIHRYHSEY-UHFFFAOYSA-N	O=c1c2ccccc2nc(n1c1ccccc1)C(F)(F)F
KNBSYZNKEAWABY-UHFFFAOYSA-L	[O-]C(=O)CCc1c([nH]c2c1c(Cl)cc(c2)Cl)C(=O)[O-]
NQDJXKOVJZTUJA-UHFFFAOYSA-N	Cc1ccnc2c1[nH]c(=O)c1c(n2C2CC2)nccc1
PKWZWSXSCKVUJB-MRXNPFEDSA-O	CC([NH2+]C[C@H](COc1ccc(cc1)CCNC(=O)NC(C)C)O)C
VHOGYURTWQBHIL-UHFFFAOYSA-N	O=C(c1cnoc1C)Nc1ccc(cc1)C(F)(F)F
BBAGZCDPLLMOKL-UHFFFAOYSA-O	[nH+]1ccc(cc1)NN1CCc2c1cccc2
TVHDOQRUZFTFEE-CRCLSJGQSA-O	O=C1[C@@H]2[NH2+]CC[C@H](N1O)C2
YBQRUOMICVULNM-UHFFFAOYSA-N	Nc1ccc(cc1)c1cc(=O)c2c(o1)ccc(c2)O
KWRMWQDKOGFMKP-UHFFFAOYSA-O	O=C(c1ccc(cc1)F)CC1CC[NH+](CC1)CC1CC1
UGJMXCAKCUNAIE-UHFFFAOYSA-N	[NH3+]CC1(CCCCC1)CC(=O)[O-]
HJORMJIFDVBMOB-LBPRGKRZSA-N	COc1ccc(cc1OC1CCCC1)[C@@H]1CNC(=O)C1
