Molregno	StandardInChIKey	Chirality	IsProdrug	CanonicalSMILES
1529010	ZBUUPRZMJYAPQF-QSCLJHCWSA-N	Unknown	Unknown	CC(C)[C@H](NC(=O)N(C)Cc1csc(n1)C(C)C)C(=O)N[C@H](CC[C@H](Cc2ccccc2)NC(=O)OCc3ocnc3)Cc4ccccc4
1697930	JSAODTQITXZSDD-HNALGXGESA-N	Unknown	Unknown	Cl.COc1cc(OC)c(\C=N/CC2(CCCC2)c3ccccc3)cc1OC
1015310	APKFDSVGJQXUKY-KNAIVLTMSA-N	Unknown	Unknown	C[C@@H]1OC(=O)C[C@H](O)C[C@H](O)CC[C@H](O)[C@H](O)C[C@H](O)C[C@]2(O)C[C@@H](O)[C@H]([C@H](C[C@H](O[C@H]3O[C@@H](C)[C@@H](O)[C@@H](N)[C@@H]3O)\C=C/C=C\C=C/C=C\C=C/C=C\C=C/[C@H](C)[C@H](O)[C@@H]1C)O2)C(=O)O
1015313	YPOFAGNKOGZLHB-UHFFFAOYSA-N	Unknown	Unknown	CCCn1c(C)nc2c(NCCN3CCCC3)nc(C)nc12
737110	BBKXRCHPDAVHLF-UHFFFAOYSA-N	Unknown	Unknown	Cc1cccc(Cn2cnc3c(NS(=O)(=O)C)c(C)c(C)cc23)c1
557636	VKVAJQSZVWNRMB-UHFFFAOYSA-N	Unknown	Unknown	CN(CCc1ccccc1)C2CCN(CC2)c3nc4ccccc4n3Cc5ccc(F)cc5
965050	URKJSKVDJFPMFH-UHFFFAOYSA-N	Unknown	Unknown	O=C(CN1C(=O)C2C3CC(C=C3)C2C1=O)Nc4cccc5CCCCc45
365442	FFBDFADSZUINTG-UHFFFAOYSA-N	Unknown	Unknown	CCCN1C(=O)N(CCC)c2nc([nH]c2C1=O)C3CCCC3
8548	LVSWNSHUTPWCNF-UHFFFAOYSA-N	Unknown	Unknown	CCN1C(=O)N(CC)c2[nH]c(nc2C1=O)c3ccccc3
8543	JZQKKSLKJUAGIC-UHFFFAOYSA-N	Racemic	No	CC(C)NCC(O)COc1cccc2[nH]ccc12
47675	XQFRJNBWHJMXHO-RRKCRQDMSA-N	Single_Stereoisomer	No	OC[C@H]1O[C@H](C[C@@H]1O)N2C=C(I)C(=O)NC2=O
706010	KYWCWBXGRWWINE-UHFFFAOYSA-N	Achiral	No	COc1ccc(cc1C(=O)NCc2cccnc2)C(=O)NCc3cccnc3
1177798	ARPLVMIRPYYABB-UHFFFAOYSA-N	Unknown	Unknown	CC(C)OC(=O)C(C)(C)C(c1ccc(Nc2ccc3ccccc3c2)cc1)n4ccnc4
1177797	HWUQWWJQASMRAY-UHFFFAOYSA-N	Unknown	Unknown	CCCCCOC(=O)C(C)(C)C(c1ccc(Nc2ccc3ccccc3c2)cc1)n4ccnc4
1177796	PRMYIDMFDBPNTK-UHFFFAOYSA-N	Unknown	Unknown	CCCCOC(=O)C(C)(C)C(c1ccc(Nc2ccc3ccccc3c2)cc1)n4ccnc4
1177795	GJYCFJGZPVJOKR-UHFFFAOYSA-N	Unknown	Unknown	CCOC(=O)C(C)(C)C(c1ccc(Nc2ccc3ccccc3c2)cc1)n4ccnc4
