ADCQRIVAZWFZCZ-UHFFFAOYSA-N	Cc1ccc2[nH]ncc2c1Nc3ccnc(Nc4cccc(c4)C(=O)N)n3
ADCWDMMOFNYAJK-SOFGYWHQSA-N	OCC(C1CCN(CC1)C(=O)\C=C\c2ccc(F)c(Br)c2)N3CCC(CC3)c4c[nH]c5ccccc45
ADCWLBBZUYYUKS-JYRVWZFOSA-N	COc1ccc(Br)cc1\C=C\2/Sc3nc(nn3C2=O)c4occc4
ADDMFZVXYOSSRB-UHFFFAOYSA-N	CN(C)CCc1ccc(cc1)c2cnn3c(ccnc23)c4cccc(NC(=O)c5cccc(c5)C(F)(F)F)c4
ADDSXGPNDGSYDB-CYBMUJFWSA-O	CC1(C)c2cc(O)ccc2CC[C@H]1[NH+](C)C
ADDSXGPNDGSYDB-ZDUSSCGKSA-O	CC1(C)c2cc(O)ccc2CC[C@@H]1[NH+](C)C
ADEBPBSSDYVVLD-FQEVSTJZSA-O	COc1cc2c(cc1OC)C[C@@H](C2=O)CC1CC[NH+](CC1)Cc1ccccc1
ADEBPBSSDYVVLD-HXUWFJFHSA-O	COc1cc2c(cc1OC)C[C@H](C2=O)CC1CC[NH+](CC1)Cc1ccccc1
ADEIHMYSULIEAK-SFHVURJKSA-N	CN(C)[C@H]1CCN(C1)c2ccc3[nH]nc(c3c2)S(=O)(=O)c4cccc5ccccc45
ADEIWISNTUOOEM-UHFFFAOYSA-N	Cc1ccc(C)c(NC(=O)c2oc(cc2)c3cc(Cl)ccc3Cl)c1
ADFLVKAWSSGDBU-ZDUSSCGKSA-L	[O-]C(=O)CC[C@@H](C(=O)[O-])NC(=O)c1ccc(s1)CCCCc1[nH]c2c(c1)c(=O)[nH]c(n2)N
ADJZVALIXLSXCU-YHBQERECSA-N	Nc1nccn2c(nc(c3cccc(OCc4ccccc4)c3)c12)[C@@H]5CC[C@H](CC5)C(=O)N6CCCC6
ADLUNWXXEBRVEK-BUSXIPJBSA-N	COC(=O)[C@@H]1CCCN1C(=O)C2=C(C)Nc3ccnn3C2c4ccc(Cl)c(Cl)c4
ADMMGQSIWCCWJV-UHFFFAOYSA-N	O=C1NC(=O)c2cc(Oc3ccccc3)ccc12
ADMMMBVWAVNVKS-UHFFFAOYSA-N	CC(C)(C)c1cccc(c1)C2(N=C(N)N3CCCN=C23)c4ccccc4
ADMTUTZDAMUJSX-PZQWHJIPSA-N	O[C@H]1CN(C[C@@H]2CCc3cccnc3[C@@H](O)C2)CC[C@@H]1c4ccc(F)cc4Cl
ADOGIYWBFYMGSQ-UHFFFAOYSA-N	CC(=O)N1CCN(CC1)c2ccc(OCc3cc4cnc(nc4n3CCC5CCCC5)C#N)cc2
ADOJZMMSYUTJST-UHFFFAOYSA-N	CC(C)(C)NCCCc1cc(nc(n1)C#N)c2cccc(c2)C(F)(F)F
ADOZDJQXPOGXEV-UHFFFAOYSA-O	CN(c1cc[nH+]c2c1c1ncn(c(=O)c1s2)c1ccccc1)C
ADPBTBPPIIKLEH-UHFFFAOYSA-N	COc1cc(O)c(C(=O)O)c(c1)c2cc(O)c(O)cc2C
ADPQNYHDJRDCEF-UHFFFAOYSA-N	COC(=O)CNC(=O)Cc1c(C)n(C(=O)c2ccc(Cl)cc2)c3ccc(OC)cc13
ADQBWRCDKUIPFI-QGOAFFKASA-N	C1C(c2ccccc2)c3ccccc3/C/1=C/c4cccnc4
ADSYCQHXJJBMGD-ZVZYQTTQSA-N	N[C@@H]([C@@H]1CC[C@H](CC1)NS(=O)(=O)c2ccc(NS(=O)(=O)CC(F)(F)F)cc2)C(=O)N3CCCC3
ADTCNFSULLSHQL-MRAWUWRDSA-N	COC(=O)c1ccc2[nH]c(nc2c1)[C@@H]3CC[C@]4(CC3)OC(=O)c5ccccc45
AEBKEJCCPUJAQJ-JSLDZMDGSA-N	CCOC(=O)C1=C(N=C(C)\C(=C(\O)/OCc2ccccc2)\C1c3ccccc3Cl)c4ccc(cc4)n5c(C)nc6cnccc56
AEGSIYIIMVBZQU-CIUDSAMLSA-N	SC[C@@H](C(=O)[O-])NC(=O)[C@H](CC(=O)[O-])NC(=O)CNC(=O)[C@H](CCC[NH+]=C(N)N)[NH3+]
AEHHXKHHRMBYLD-SDXDJHTJSA-N	NC(=S)N\N=C(\CCc1ccccc1)/c2ccccc2
AEIANINERTXEPM-UHFFFAOYSA-N	[O-][n+]1ccccc1c2ccc(NC(=O)c3nc(c[nH]3)C#N)c(c2)C4=CCCCC4
AEIDURNZWCNQIM-UHFFFAOYSA-O	[NH2+]1CCn2c(C1)cc1c2cccc1
AEIGTKUKBWYPFQ-GFCCVEGCSA-N	CCCc1cc(OC(F)(F)F)cc2C=C([C@@H](Oc12)C(F)(F)F)C(=O)O
AEIGTKUKBWYPFQ-LBPRGKRZSA-N	CCCc1cc(OC(F)(F)F)cc2C=C([C@H](Oc12)C(F)(F)F)C(=O)O
AEIGTKUKBWYPFQ-UHFFFAOYSA-N	CCCc1cc(OC(F)(F)F)cc2C=C(C(Oc12)C(F)(F)F)C(=O)O
AEIIUJJQHJHHGW-VSJLXWSYSA-N	CCCCC1(CCCC)CS(=O)(=O)c2ccc(cc2[C@H]([C@H]1O)c3ccc(OCCOCC[N+]45CCN(CC4)CC5)cc3)N(C)C
