BMUACLADCKCNKZ-UHFFFAOYSA-N	O14920
BMVVLXNEZZJMOQ-UHFFFAOYSA-N	Q12809
BMWVMHUSJDJACJ-JFQJCAQQSA-N	Q9Y5S8
BNIUPHKLLWSGIS-UHFFFAOYSA-N	P41145
BNPLLZIDWXJZHJ-UHFFFAOYSA-N	P31941
BNRISRPMTTUVGH-UHFFFAOYSA-N	P61088
BNRNXUUZRGQAQC-UHFFFAOYSA-N	Q12809
BNRNXUUZRGQAQC-UHFFFAOYSA-N	Q08499
BNSQYUBTRASHLN-XGCAABAXSA-N	P11597
BOEDMJQTMFYUNI-UHFFFAOYSA-N	P63165
BOQHEVYQIXGRBL-UHFFFAOYSA-N	P49327
BORCESQTPHKPLS-UHFFFAOYSA-N	Q96LD8
BOSPJTDRCVFWMR-UHFFFAOYSA-N	P08684
BOYASMFQZGSUQJ-RQBPZYBGSA-N	P98170
BPTSCIALBUNFAZ-ABCMRBOESA-M	P05364
BPTXICQAEGSTHS-ZJSPYRCASA-N	Q00987
BPUTZYAEDHOPDE-QZVCFEQLSA-N	P98170
BQFDTKDYOCJBGZ-UHFFFAOYSA-N	P16116
BQHADDZKAXXVBP-UHFFFAOYSA-N	Q96P20
BQHBMBRIUAUPKU-UHFFFAOYSA-N	Q92731
BQJCRHHNABKAKU-KBQPJGBKSA-N	P97266
BQORZESIOCMVDH-UHFFFAOYSA-N	P08581
BQQWMXUYUQDOGR-UHFFFAOYSA-N	O95136
BQTKBBVVGSBWKU-UHFFFAOYSA-N	P32897
BQTSHFJKLFGPIO-UHFFFAOYSA-N	P63165
BQUUTNOUIXDXTN-NJNXFGOHSA-N	O14727
BREDZPSZVHGXCM-LPYMAVHISA-N	P49327
BRKOVFUTTJGJEO-UHFFFAOYSA-N	P35372
BRPAABKVWTVIPX-LICLKQGHSA-N	P41145
BRQGBZKOHQRHQP-UHFFFAOYSA-N	O14727
BRQZHMHHZLRXOO-UHFFFAOYSA-N	P14174
BSODUXBASLZJEK-JHJVBQTASA-N	P56524
BSYNRYMUTXBXSQ-UHFFFAOYSA-N	P35354
BSYNRYMUTXBXSQ-UHFFFAOYSA-N	P79208
BSYNRYMUTXBXSQ-UHFFFAOYSA-N	P05979
BTCSSZJGUNDROE-UHFFFAOYSA-N	P31650
BTFDOQOPNARQSS-HBMCJLEFSA-N	Q00987
BTIHMVBBUGXLCJ-OAHLLOKOSA-N	Q13627
BTJJARTUWGTJNI-UHFFFAOYSA-N	Q07422
BTLVITBYDTYASE-UHFFFAOYSA-N	P41145
BTQQRTVTLFERGV-UHFFFAOYSA-N	P24666
BTURFDFZCYITAI-CMDGGOBGSA-N	Q2TB90
BUTZZDLVAWAPRH-UHFFFAOYSA-N	P87108
BUWBVEJQFXVJCT-UHFFFAOYSA-N	P50579
BUXUBGSAKDVDSG-UHFFFAOYSA-M	P63165
BUZBVOKDNAZIIM-UHFFFAOYSA-N	Q12809
BVFLHOOKHPFDCT-UHFFFAOYSA-N	P24557
BVLDTQOJHAZUMB-UHFFFAOYSA-N	P23219
BVUAQJINEZJNCE-JYRVWZFOSA-N	Q92731
BWBSGQBVVSKFMY-UHFFFAOYSA-N	P14324
BWCLPNGLALERQB-UHFFFAOYSA-N	O43614
BWHLPLXXIDYSNW-UHFFFAOYSA-N	P35354
BWOQIIJZDUKDPB-UHFFFAOYSA-N	P49327
BWSDYKXKOONUOR-UHFFFAOYSA-N	P51684
BWVIYUMPYJOSEV-UHFFFAOYSA-N	P11229
BWXMGCLNRRSVLZ-MGPQQGTHSA-N	P56524
BWZFGUKJQQFBKY-MOUTVQLLSA-N	P16050
BXHDFWIJQJGBEQ-UHFFFAOYSA-N	P34949
BXIWKBWJRKXQTA-RIAYWLAYSA-N	P98170
BXMFBVSLAAZQII-UHFFFAOYSA-N	P65502
BXRUGMGHHLXLFV-JSSTZBRYSA-N	P11229
BXYRCDZUINXBPI-UHFFFAOYSA-N	P24666
BYDCIBXURIFARK-UHFFFAOYSA-N	Q9Y239
BYOYASAICAHUNR-SKRBABGKSA-N	P24666
BYPIURIATSUHDW-UHFFFAOYSA-N	P12527
BYQBMIHQROWCQG-UHFFFAOYSA-N	P0C6X7
BYZTYQQPRFCLCI-UHFFFAOYSA-N	P87108
BZAWUDRIEMKRLJ-UHFFFAOYSA-N	P24666
BZJYTIGGFLSTDM-ZTQUWTGOSA-N	P65502
BZKRTHSHHUBVMS-UHFFFAOYSA-N	P49327
BZLWEOUZAHROCJ-UHFFFAOYSA-N	P41145
BZPPWOZQYKSIBQ-BNSHTTSQSA-N	P11229
