InChIKey	SMILES	Name	Synonyms
BNTVCVCCNARYIP-URLMMPGGSA-N	CCNc1cc(cc(c1)N2CCCC2=O)C(=O)N[C@@H](Cc3ccccc3)[C@@H](CNC(C)(C)CCCC(C)C)O	N-{(1S,2R)-1-benzyl-2-hydroxy-3-[(1,1,5-trimethylhexyl)amino]propyl}-3-(ethylamino)-5-(2-oxopyrrolidin-1-yl)benzamide	
SYRDAPWACIANBN-QMKHLHGBSA-M	C([C@@H]1[C@H]([C@@H]([C@H]([C@H](O1)OP(=O)(O)O)O)O)O)O[V](=O)(=O)O	ALPHA-D-GLUCOSE-1-PHOSPHATE-6-VANADATE	
JDYIYIRPQKMWMM-UHFFFAOYSA-N	Cc1cc(cc(c1OCCN)C)C(=O)Nc2cc(cc(c2)Cl)N3CCCCC3	4-(2-aminoethoxy)-N-(3-chloro-5-piperidin-1-ylphenyl)-3,5-dimethylbenzamide	
FBMGVFBNGKNQCB-WTWMYVDVSA-N	CCCCCS(=O)(=O)c1cccc(c1)C(=O)N[C@@H](Cc2ccccc2)[C@@H](CN[C@@H](C)C(=O)NC3CCCCC3)O	N-[(1S,2R)-1-benzyl-3-{[(1S)-2-(cyclohexylamino)-1-methyl-2-oxoethyl]amino}-2-hydroxypropyl]-3-(pentylsulfonyl)benzamide	
OCMGZBXBWVXWRJ-KEPSJGTLSA-N	CCCOc1cc(cc(c1)N2C=CCC2=O)C(=O)N[C@@H](Cc3ccccc3)[C@@H](CN[C@@H](C)C(=O)NC4CCCCC4)O	N-[(1S,2R)-1-benzyl-3-{[(1S)-2-(cyclohexylamino)-1-methyl-2-oxoethyl]amino}-2-hydroxypropyl]-3-(2-oxo-2,3-dihydro-1H-pyrrol-1-yl)-5-propoxybenzamide	
ARWMRRUIIHCDKG-PWUSVURUSA-N	CCNc1cc(cc(c1)N2CCCC2=O)C(=O)N[C@@H](Cc3ccccc3)[C@@H](CN[C@@H](C)C(=O)NC4CCCCC4)O	N-[(1S,2R)-1-benzyl-3-{[(1S)-2-(cyclohexylamino)-1-methyl-2-oxoethyl]amino}-2-hydroxypropyl]-3-(ethylamino)-5-(2-oxopyrrolidin-1-yl)benzamide	
QPGDTFHILHXFBQ-WUFINQPMSA-N	CCNc1cc(cc(c1)N2CCCC2=O)C(=O)N[C@@H](Cc3ccccc3)[C@@H](CNCc4cccc(c4)C(F)(F)F)O	N-[(1S,2R)-1-benzyl-2-hydroxy-3-{[3-(trifluoromethyl)benzyl]amino}propyl]-3-(ethylamino)-5-(2-oxopyrrolidin-1-yl)benzamide	
PVDHVIVUNLQJLY-RRPNLBNLSA-N	CCNc1cc(cc(c1)N2CCCC2=O)C(=O)N[C@@H](Cc3ccccc3)[C@@H](CNC4CCCCC4)O	N-[(1S,2R)-1-benzyl-3-(cyclohexylamino)-2-hydroxypropyl]-3-(ethylamino)-5-(2-oxopyrrolidin-1-yl)benzamide	
CXZCUCWQLXRDJA-UHFFFAOYSA-N	CN1Cc2c(ccc(c2C1=O)Nc3c(cnc(n3)Nc4ccccc4OC)Cl)N5CCC(CC5)N6CCCCC6	4-(1,4'-bipiperidin-1'-yl)-7-({5-chloro-2-[(2-methoxyphenyl)amino]pyrimidin-4-yl}amino)-2-methyl-2,3-dihydro-1H-isoindol-1-one	
KKMWDWUZXFYKLD-UHFFFAOYSA-N	CCOc1ccc(c(c1)NCc2cnc3c(c2C)c(nc(n3)N)N)OCC	6-{[(2,5-DIETHOXYPHENYL)AMINO]METHYL}-5-METHYLPYRIDO[2,3-D]PYRIMIDINE-2,4-DIAMINE	
BKSGACYTXOQQNI-OAQYLSRUSA-N	c1ccc(cc1)C2=N[C@@H](C(=Nc3c2cccc3)N4CC(C4)O)c5cccs5	1-[(3S)-5-PHENYL-3-THIOPHEN-2-YL-3H-1,4-BENZODIAZEPIN-2-YL]AZETIDIN-3-OL	
QLPMCDAONBPCJU-VDHUWJSZSA-O	CCC(=O)N[C@H]1c2[nH]c(c[n+]2[C@@H]([C@H]([C@@H]1O)O)CO)CCc3ccccc3	(5R,6R,7R,8S)-6,7-dihydroxy-5-(hydroxymethyl)-2-(2-phenylethyl)-8-(propanoylamino)-5,6,7,8-tetrahydro-1H-imidazo[1,2-a]pyridin-4-ium	
BNIGSPMLDODEAJ-UHFFFAOYSA-N	Cn1c2cc(sc2c(c1c3ccccc3)C4CCCCC4)C(=O)O	6-CYCLOHEXYL-4-METHYL-5-PHENYL-4H-THIENO[3,2-B]PYRROLE-2-CARBOXYLIC ACID	
PDOCNPCPPLPXRV-UHFFFAOYSA-N	c1cc2c(cc1Cl)[nH]c(n2)N	6-chloro-1H-benzimidazol-2-amine	
JFVMZMBFRZPOFF-UHFFFAOYSA-N	c1ccc(cc1)c2cccc3c2n(c(n3)N)Cc4ccc(c(c4)Cl)Cl	1-(3,4-DICHLOROBENZYL)-7-PHENYL-1H-BENZIMIDAZOL-2-AMINE	
FYCOTGCSHZKHPR-UHFFFAOYSA-N	Cc1cccc(c1)Cc2c3c(ncnc3n(n2)C(C)(C)C)N	1-tert-butyl-3-(3-methylbenzyl)-1H-pyrazolo[3,4-d]pyrimidin-4-amine	
KTEIFNKAUNYNJU-GFCCVEGCSA-N	C[C@H](c1c(ccc(c1Cl)F)Cl)Oc2cc(cnc2N)c3cnn(c3)C4CCNCC4	3-[(1R)-1-(2,6-dichloro-3-fluorophenyl)ethoxy]-5-(1-piperidin-4-yl-1H-pyrazol-4-yl)pyridin-2-amine	CRIZOTINIB
JZCUVYNOSDWORZ-UHFFFAOYSA-N	c1cc(cc(c1)Br)N2C(=O)c3cccc4c3c(ccc4NCCO)C2=O	2-(3-BROMOPHENYL)-6-[(2-HYDROXYETHYL)AMINO]-1H-BENZO[DE]ISOQUINOLINE-1,3(2H)-DIONE	
RLCKHJSFHOZMDR-GBESFXJTSA-N	CC(C)CCC[C@H](C)CCC[C@H](C)CCC[C@@H](C)CC(=O)O	(3R,7S,11S)-3,7,11,15-tetramethylhexadecanoic acid	
MWVUNZGIJWXHFJ-UHFFFAOYSA-N	COc1cc(cc(c1OC)OC)c2cc(c(nc2)N)c3ccc(cc3)C(=O)O	4-[2-AMINO-5-(3,4,5-TRIMETHOXYPHENYL)PYRIDIN-3-YL]BENZOIC ACID	
NIPZZXUFJPQHNH-UHFFFAOYSA-N	c1cnc(cn1)C(=O)O	PYRAZINE-2-CARBOXYLIC ACID	PYRAZINOIC ACID
MGGHBVJICDPMQM-UHFFFAOYSA-N	COc1cc(ccc1O)c2cc(c(nc2)N)c3ccc(cc3)C(=O)N	4-[2-AMINO-5-(4-HYDROXY-3-METHOXYPHENYL)PYRIDIN-3-YL]BENZAMIDE	
XXPKIBVYLUEVCV-UHFFFAOYSA-N	CC(=O)Nc1ccc(cc1C(=O)O)c2ccc(cc2)c3ccccc3	2-ACETAMIDO-5-(4-PHENYLPHENYL)BENZOIC ACID	
YVGUIYUDGGDTSX-ZDRXMRRKSA-N	C[C@H]([C@H]1[C@@H]([C@H]([C@H](O1)c2ccc(c3c2c4c(cc3OC)-c5c(cc(cc5OC)C=C)[C@@H](O4)O)O)O)O)O	(1R)-1,4-anhydro-6-deoxy-1-[(6R)-8-ethenyl-1,6-dihydroxy-10,12-dimethoxy-6H-dibenzo[c,h]chromen-4-yl]-D-galactitol	pregilvocarcin V
DTGCLOCEXRIHBE-UHFFFAOYSA-M	c1cc2cc(cc3c2c(c1)C(=O)N(C3=O)Cc4ccc(cc4)N)S(=O)(=O)O	2-(4-AMINOBENZYL)-1,3-DIOXO-2,3-DIHYDRO-1H-BENZO[DE]ISOQUINOLINE-5-SULFONATE	
ULFLIVGUMGQSSF-UHFFFAOYSA-N	c1ccc2c(c1)cccc2S(=O)(=O)Nc3nc(c(s3)Cc4ccc(cc4)Br)O	N-[5-[(4-BROMOPHENYL)METHYL]-4-HYDROXY-1,3-THIAZOL-2-YL]NAPHTHALENE-1-SULFONAMIDE	PITSTOP 2
ZRQBUFWZLIUDMG-UHFFFAOYSA-N	Cc1ccc2cc1-c3cc(nc(n3)N)Sc4cccc(c4)OCCCCO2	22-methyl-13,18-dioxa-7-thia-3,5-diazatetracyclo[17.3.1.1~2,6~.1~8,12~]pentacosa-1(23),2(25),3,5,8(24),9,11,19,21-nonaen-4-amine	
HDKDXSZAJVZYLD-UHFFFAOYSA-N	Cc1cc(c2cc1-c3cc(nc(n3)N)Sc4cccc(c4)OCCCNC2=O)C	4-amino-20,22-dimethyl-13-oxa-7-thia-3,5,17-triazatetracyclo[17.3.1.1~2,6~.1~8,12~]pentacosa-1(23),2(25),3,5,8(24),9,11,19,21-nonaen-18-one	
DPKGPEGXWFTAIR-UHFFFAOYSA-N	CC(C)c1cc(c(cc1O)O)C(=O)N2Cc3ccccc3C2	4-(1,3-DIHYDRO-2H-ISOINDOL-2-YLCARBONYL)-6-(1-METHYLETHYL)BENZENE-1,3-DIOL	
OMFBVBRFVYLRQT-UHFFFAOYSA-N	Cc1cc(c2cc1-c3cc(nc(n3)N)SCCC(=O)NCCCNC2=O)C	4-amino-18,20-dimethyl-7-thia-3,5,11,15-tetraazatricyclo[15.3.1.1(2,6)]docosa-1(20),2,4,6(22),17(21),18-hexaene-10,16-dione	
PECDAVNFXWSGFV-QXEWZRGKSA-N	CN1[C@H]2CS[C@H]([C@H]2N(C1=O)C)CCCCC(=O)O	5-[(3aS,4S,6aR)-1,3-dimethyl-2-oxohexahydro-1H-thieno[3,4-d]imidazol-4-yl]pentanoic acid	
BWNGWJMPVBQLHD-DZKIICNBSA-N	c1ccc(cc1)COC(=O)N2[C@H]3CS[C@H]([C@H]3NC2=O)CCCCC(=O)O	5-{(3aS,4S,6aR)-1-[(benzyloxy)carbonyl]-2-oxohexahydro-1H-thieno[3,4-d]imidazol-4-yl}pentanoic acid	
KTEIFNKAUNYNJU-LBPRGKRZSA-N	C[C@@H](c1c(ccc(c1Cl)F)Cl)Oc2cc(cnc2N)c3cnn(c3)C4CCNCC4	3-[(1S)-1-(2,6-DICHLORO-3-FLUOROPHENYL)ETHOXY]-5-(1-PIPERIDIN-4-YLPYRAZOL-4-YL)PYRIDIN-2-AMINE	S-CRIZOTINIB
RRTPTPSZIBNWCN-ZZGOIYGKSA-N	CCC1(CC/C(=C\[C@@H](C)[C@H]2CC[C@@H]\3[C@@]2(CCC/C3=C\C=C/4\C[C@H]([C@@H]([C@@H](C4=C)O)OCCCO)O)C)/C1=O)C(=O)OC	methyl (1S,3E)-3-{(2R)-2-[(1R,3aS,4E,7aR)-4-{(2Z)-2-[(3R,4S,5R)-3,5-dihydroxy-4-(3-hydroxypropoxy)-2-methylidenecyclohexylidene]ethylidene}-7a-methyloctahydro-1H-inden-1-yl]propylidene}-1-ethyl-2-oxocyclopentanecarboxylate (non-preferred name)	
WERNQSNSNVDBBJ-UHFFFAOYSA-N	c1ccc(cc1)c2c(c(n(n2)c3ccccc3)C(=O)O)C(=O)O	1,3-DIPHENYL-1H-PYRAZOLE-4,5-DICARBOXYLIC ACID	
BNRNXUUZRGQAQC-UHFFFAOYSA-N	CCCc1c2c(n(n1)C)C(=O)NC(=N2)c3cc(ccc3OCC)S(=O)(=O)N4CCN(CC4)C	5-{2-ETHOXY-5-[(4-METHYLPIPERAZIN-1-YL)SULFONYL]PHENYL}-1-METHYL-3-PROPYL-1H,6H,7H-PYRAZOLO[4,3-D]PYRIMIDIN-7-ONE	SILDENAFIL, VIAGRA
JZRWCGZRTZMZEH-UHFFFAOYSA-N	Cc1c(sc[n+]1Cc2cnc(nc2N)C)CCO	3-(4-AMINO-2-METHYL-PYRIMIDIN-5-YLMETHYL)-5-(2-HYDROXY-ETHYL)-4-METHYL-THIAZOL-3-IUM	THIAMIN, VITAMIN B1
DFSJQGCLWZVMOD-IQIMCDJDSA-N	C[C@@H]1/C=C/C(=O)NC/C=C/C(=C/[C@H](C[C@H](Cc2nc(co2)C(=O)N3CCC[C@@H]3C(=O)O[C@@H]1C(C)C)F)O)/C	Flopristin	
ROFNJLCLYMMXCT-RXMQYKEDSA-N	CC[C@H](CCC(=O)O)N	4-AMINO HEXANOIC ACID	
QPKYPOMZPFDBEZ-UHFFFAOYSA-N	c1ccc(cc1)c2c(c(c(o2)c3ccccc3)C(=O)O)C(=O)O	2,5-DIPHENYLFURAN-3,4-DICARBOXYLIC ACID	2-5-DIPHENYL-3,4-FURANDICARBOXYLIC ACID
FGKKIHITEICGMN-UHFFFAOYSA-N	CC(C)Oc1ccc-2c(c1)CCc3c2c4c(c5c3n(c6c5cccc6)CCO)C=NC4=O	12-(2-hydroxyethyl)-2-(1-methylethoxy)-13,14-dihydronaphtho[2,1-a]pyrrolo[3,4-c]carbazol-5(12H)-one	
KRILJVOCVSUPMA-ZETCQYMHSA-O	CCCC(=[NH2+])NCCC[C@@H](C(=O)O)N	N5-(1-IMINO-3-BUTENYL)-L-ORNITHINE	
FHWPTZQYVNRXMX-UHFFFAOYSA-N	Cc1cc(c(c(c1S(=O)(=O)Nc2c(nn(c2C)C)C)C)C)OC	4-METHOXY-2,3,6-TRIMETHYL-N-(1,3,5-TRIMETHYL-1H-PYRAZOL-4-YL)BENZENESULFONAMIDE	
DAIKHDNSXMZDCU-FQTGFAPKSA-N	C[C@@H]1\C=C\C(=O)NC\C=C\C(=C\[C@H](CC(=O)Cc2nc(co2)C(=O)N3CCC=C3C(=O)O[C@@H]1C(C)C)O)\C	VIRGINIAMYCIN M1	
BPQMGSKTAYIVFO-UHFFFAOYSA-N	CS(=O)(=O)c1ccc(c(c1)Cl)C(=O)Nc2ccc(c(c2)c3ccccn3)Cl	2-chloranyl-~{N}-(4-chloranyl-3-pyridin-2-yl-phenyl)-4-methylsulfonyl-benzamide	
GVJHHUAWPYXKBD-SYZUXVNWSA-N	Cc1c(c2c(c(c1O)C)CC[C@](O2)(C)CCC[C@@H](C)CCC[C@@H](C)CCCC(C)C)C	VITAMIN E	2,5,7,8-TETRAMETHYL-2-(4,8,12-TRIMETHYLTRIDECYL)-6-CHROMANOL
GVJHHUAWPYXKBD-IEOSBIPESA-N	Cc1c(c2c(c(c1O)C)CC[C@@](O2)(C)CCC[C@H](C)CCC[C@H](C)CCCC(C)C)C	(2R)-2,5,7,8-TETRAMETHYL-2-[(4R,8R)-4,8,12-TRIMETHYLTRIDECYL]CHROMAN-6-OL	
JUJODNDJFVYZOZ-HJVOAZHASA-N	C[C@H]1/C=C(/[C@@H]([C@H](CC/C=C(/C(=O)Nc2cc(cc(c2)OC)COC[C@@H]([C@@H]1OC)OC)\C)OC(=O)N)OC(=O)N)\C	valerjesomycin	(4E,8S,9S,10E,12S,13R,14S)-13,14,20-trimethoxy-4,10,12-trimethyl-3-oxo-16-oxa-2-azabicyclo[16.3.1]docosa-1(22),4,10,18,20-pentaene-8,9-diyl dicarbamate
NXTDJHZGHOFSQG-UHFFFAOYSA-N	c1ccc(cc1)Oc2cccc(c2)C(=O)O	3-phenoxybenzoic acid	
ASUGUQWIHMTFJL-QGZVFWFLSA-N	CC[C@](C)(C(=O)NCC(F)(F)F)Nc1ccnc(n1)c2c[nH]c3c2cccn3	(2R)-2-methyl-2-[[2-(1H-pyrrolo[2,3-b]pyridin-3-yl)pyrimidin-4-yl]amino]-N-[2,2,2-tris(fluoranyl)ethyl]butanamide	Decernotinib, Adelatinib, VX-509
OWUDZSOVUCVZKR-UHFFFAOYSA-N	c1cc(ccc1N)S(=O)(=O)N2CCCCC2=O	1-[(4-aminophenyl)sulfonyl]piperidin-2-one	
MJVAVZPDRWSRRC-UHFFFAOYSA-N	CC1=CC(=O)c2ccccc2C1=O	MENADIONE	VITAMIN K3; 2-METHYL-1,4-NAPHTHALENEDIONE
VDNMIIDPBBCMTM-UHFFFAOYSA-M	C(COCC(=O)O)O	(2-hydroxyethoxy)acetic acid	
LOEPUEZHCDNOEG-FQEVSTJZSA-N	CN(Cc1ccccc1C(=O)NCC2CCC2)Cc3ccc4c(c3C(=O)O)OC[C@@H](O4)CCC(=O)O	(2S)-6-[[[2-(cyclobutylmethylcarbamoyl)phenyl]methyl-methyl-amino]methyl]-2-(3-hydroxy-3-oxopropyl)-2,3-dihydro-1,4-benzodioxine-5-carboxylic acid	
JXLYSJRDGCGARV-CFWMRBGOSA-N	CC[C@@]1(C[C@H]2C[C@@](c3c(c4ccccc4[nH]3)CC[N@](C2)C1)(c5cc6c(cc5OC)[N@@]([C@@H]7[C@]68CC[N@]9[C@H]8[C@@](C=CC9)([C@H]([C@@]7(C(=O)OC)O)OC(=O)C)CC)C)C(=O)OC)O	(2ALPHA,2'BETA,3BETA,4ALPHA,5BETA)-VINCALEUKOBLASTINE	VINBLASTINE
DFWKRZGYBOVSKW-UHFFFAOYSA-N	c1cc(sc1)c2cc(cnc2)C(=O)O	5-(2-thienyl)nicotinic acid	5-thiophen-2-ylpyridine-3-carboxylic acid, 5-(thien-2-yl)nicotinic acid
PETSRUBXPDOLKZ-QWQWKMKNSA-N	C1CCC(CC1)CN[C@@H]2[C@@H]([C@H]([C@@H]([C@H]2O)O)O)CO	(1R,2S,3S,4R,5R)-4-(cyclohexylmethylamino)-5-(hydroxymethyl)cyclopentane-1,2,3-triol	
CWTXJPICSREUOK-OWVAZHOYSA-N	c1ccc2cc(ccc2c1)C(=O)NC(=O)N[C@H]3[C@@H]([C@H]([C@@H]([C@H](O3)CO)O)O)O	N-[[(2R,3R,4S,5S,6R)-6-(hydroxymethyl)-3,4,5-tris(oxidanyl)oxan-2-yl]carbamoyl]naphthalene-2-carboxamide	
TXCZGHBHNXNXMA-CYUGOOACSA-N	CC(C)[C@@H](C(=O)NS(=O)(=O)OC[C@@H]1[C@H]([C@H]([C@@H](O1)n2cnc3c2ncnc3N)O)O)N	5'O-[N-(L-VALYL)SULPHAMOYL]ADENOSINE	
GCNSCCULRVBOML-QYVSTXNMSA-N	c1nc(c2c(n1)n(cn2)[C@H]3[C@@H]([C@@H]([C@H](O3)CNS(=O)(=O)CCCN)O)O)N	5'-{[(3-aminopropyl)sulfonyl]amino}-5'-deoxyadenosine	
UXRSVTXAGGLLHU-SFHVURJKSA-N	Cc1csc(n1)[C@@](C)(c2nnc(s2)Nc3ccn(n3)Cc4c(cccc4F)F)O	(1S)-1-(5-{[1-(2,6-DIFLUOROBENZYL)-1H-PYRAZOL-3-YL]AMINO}-1,3,4-THIADIAZOL-2-YL)-1-(4-METHYL-1,3-THIAZOL-2-YL)ETHANOL	
YTVPPYMZCLYRBX-UHFFFAOYSA-N	O=[V-](=O)=O	VANADATE ION	METAVANADATE
ALTWGIIQPLQAAM-UHFFFAOYSA-N	[O-][V](=O)=O	oxido(dioxo)vanadium	
CIFIVCCKVZFJFT-QHCPKHFHSA-N	c1ccc(cc1)[C@H](Cn2ccnc2)NC(=O)c3ccc(cc3)c4ccc(cc4)Cl	4'-chloro-N-[(1R)-2-(1H-imidazol-1-yl)-1-phenylethyl]biphenyl-4-carboxamide	
CJPLMXOWZZCYHJ-QHCPKHFHSA-N	c1ccc(cc1)c2nnc(o2)c3ccc(cc3)C(=O)N[C@@H](Cn4ccnc4)c5ccc(cc5Cl)Cl	N-[(1R)-1-(2,4-dichlorophenyl)-2-(1H-imidazol-1-yl)ethyl]-4-(5-phenyl-1,3,4-oxadiazol-2-yl)benzamide	
GTDQGKWDWVUKTI-UHFFFAOYSA-N	CC(=O)c1ccccc1N	2-aminoacetophenone	
NHNWMUWCUHYJIR-NBMBROAQSA-N	CCCCCC(=O)N[C@@H](C(C)C)C(=O)N[C@@H](CCC(=O)N(C)C)C(=O)N[C@@H](CC(C)C)[C@H](C(C)C)O	N-hexanoyl-L-valyl-N~1~-[(3S,4S)-3-hydroxy-2,6-dimethylheptan-4-yl]-N~5~,N~5~-dimethyl-L-glutamamide	vinylketone carmaphycin analogue VNK1, double bound form
WKOLLVMJNQIZCI-UHFFFAOYSA-M	COc1cc(ccc1O)C(=O)[O-]	4-HYDROXY-3-METHOXYBENZOATE	vanillate
LWNISHVQCROCTL-UHFFFAOYSA-O	Cc1c(sc[n+]1Cc2cnc(nc2N)C)CCO[P@](=O)(NP(=O)(O)O)O	3-[(4-AMINO-2-METHYLPYRIMIDIN-5-YL)METHYL]-5-(2-{[HYDROXY(PHOSPHONOAMINO)PHOSPHORYL]OXY}ETHYL)-4-METHYL-1,3-THIAZOL-3-IUM	THIAMIN-PNP; [2-[3-[(4-AMINO-2-METHYL-PYRIMIDIN-5-YL)METHYL]-4-METHYL-1-THIA-3-AZON IACYCLOPENTA-2,4-DIEN-5-YL]ETHOXY-HYDROXY-PHOSPHORYL]AMINOPHOSPHONIC ACID
OAOWJIIZSRFUAL-QCJQWHCGSA-N	C/C=C(\CCO[P@](=O)(O)OP(=O)(O)O)/C[C@]12C(=O)NC(=O)N=C1N(c3cc(c(cc3N2)C)C)C[C@@H]([C@@H]([C@@H](COP(=O)(O)O)O)O)O	1-deoxy-1-[(4aR)-4a-[(2Z)-2-(2-{[(S)-hydroxy(phosphonooxy)phosphoryl]oxy}ethyl)but-2-en-1-yl]-7,8-dimethyl-2,4-dioxo-3,4,4a,5-tetrahydrobenzo[g]pteridin-10(2H)-yl]-5-O-phosphono-D-ribitol	
KSMSKLCCSVEWDM-QFIPXVFZSA-N	c1ccc(cc1)c2nnc(o2)c3ccc(cc3)C(=O)N[C@@H](Cn4cncn4)c5ccc(cc5Cl)Cl	N-[(1R)-1-(2,4-dichlorophenyl)-2-(1H-1,2,4-triazol-1-yl)ethyl]-4-(5-phenyl-1,3,4-oxadiazol-2-yl)benzamide	
CZOUTUOSDBYBBC-OBPXZMPXSA-N	C/C(=C\[C@@H]1[C@H]([C@H]([C@@H]([C@H](O1)CO)O)O)O)/c2ccc(cc2)c3ccccc3	PARA-BIPHENYL METHYLENE C-LINKED MANNOSIDE	
LPJWCRSWBACCSH-UHFFFAOYSA-N	Cc1csc(n1)Nc2c(cccn2)OCc3ccccc3	3-(benzyloxy)-N-(4-methyl-1,3-thiazol-2-yl)pyridin-2-amine	
QFOFZZJJRFMLKB-UHFFFAOYSA-N	Cc1cc(c(nc1)Nc2nc(cs2)C)OCc3ccccc3	3-(benzyloxy)-5-methyl-N-(4-methyl-1,3-thiazol-2-yl)pyridin-2-amine	
JXIADNYSXBZKBU-UHFFFAOYSA-N	[O-][V](=O)([O-])O[V](=O)([O-])O[V](=O)([O-])O[V](=O)([O-])[O-]	TETRAMETAVANADATE	
LSGOVYNHVSXFFJ-UHFFFAOYSA-N	[O-][V](=O)([O-])[O-]	VANADATE ION	
SDXKWPVFZWZYNK-UHFFFAOYSA-N	C=Cc1ccc(cc1)CS(=O)(=O)O	(4-VINYLPHENYL)METHANESULFONIC ACID	
BCEHBSKCWLPMDN-MGPLVRAMSA-N	C[C@@H](c1c(cncn1)F)[C@](Cn2cncn2)(c3ccc(cc3F)F)O	Voriconazole	(2R,3S)-2-(2,4-difluorophenyl)-3-(5-fluoropyrimidin-4-yl)-1-(1H-1,2,4-triazol-1-yl)butan-2-ol
SKGTWJNDCFMXKU-GZDQRYBESA-N	[H]/N=C(\Cc1ccccc1)/N[C@H]2[C@@H]([C@H]([C@@H]([C@H](O2)CO[C@H]3[C@@H]([C@H]([C@@H](CO3)O)O)O)O)O)O	2-phenyl-N-(6-O-beta-D-xylopyranosyl-beta-D-glucopyranosyl)ethylamidine	2-phenyl-N-[(2R,3R,4S,5S,6R)-3,4,5-tris(oxidanyl)-6-[[(2S,3R,4S,5R)-3,4,5-tris(oxidanyl)oxan-2-yl]oxymethyl]oxan-2-yl]ethanimidamide
KPGFVOVOBVGIMY-QRFRQXIXSA-N	CC(C)[C@@H](C(=O)N1CCC[C@H]1C(=O)N[C@H](Cc2ccccc2)P(=O)(O)O)NC(=O)CCC(=O)O	N-(3-carboxypropanoyl)-L-valyl-N-[(1S)-2-phenyl-1-phosphonoethyl]-L-prolinamide	
BITYXLXUCSKTJS-ZETCQYMHSA-N	CC(C)[C@@](CC(=O)O)(C(=O)O)O	(2S)-2-hydroxy-2-(propan-2-yl)butanedioic acid	
OKSUEATVFIVTFV-AESZEHBQSA-N	CCN1CCN(C(=O)C1=O)C(=O)N[C@H](c2ccccc2)C(=O)N[C@@H]([C@H]3N[C@H](C(S3)(C)C)C(=O)O)C(=O)O	(2S,4S)-2-[(R)-carboxy{[(2R)-2-{[(4-ethyl-2,3-dioxopiperazin-1-yl)carbonyl]amino}-2-phenylacetyl]amino}methyl]-5,5-dimethyl-1,3-thiazolidine-4-carboxylic acid	(5S)-Penicilloic Acid
OMOMUFTZPTXCHP-UHFFFAOYSA-N	CCCC(CCC)C(=O)N	2-PROPYLPENTANAMIDE	VALPROMIDE
NUNQIQQEEPOGDJ-JDOAOKHLSA-N	CCCCC(=O)N[C@@H]\1[C@H]([C@@H]([C@H](O/C1=N\OC(=O)Nc2ccccc2)CO)O)O	[[(3R,4R,5S,6R)-4,5-dihydroxy-6-(hydroxymethyl)-3-(pentanoylamino)oxan-2-ylidene]amino] N-phenylcarbamate	N-Valeryl-PUGNAc
ZBGXUVOIWDMMJE-QHNZEKIYSA-N	CCOC(=O)N[C@@H]1CC[C@@H]2[C@@H](C1)C[C@@H]3[C@H]([C@H]2/C=C/c4ccc(cn4)c5cccc(c5)F)[C@H](OC3=O)C	ethyl [(1R,3aR,4aR,6R,8aR,9S,9aS)-9-{(E)-2-[5-(3-fluorophenyl)pyridin-2-yl]ethenyl}-1-methyl-3-oxododecahydronaphtho[2,3-c]furan-6-yl]carbamate	vorapaxar
FLCSHCSBIFPQJJ-UHFFFAOYSA-N	CN1C(=CC(=NC1=O)OCc2cc(c(c(c2)F)Oc3ccc(c(c3)C(F)(F)F)Cl)F)N4CCS(=O)(=O)CC4	6-[1,1-bis(oxidanylidene)-1,4-thiazinan-4-yl]-4-[[4-[4-chloranyl-3-(trifluoromethyl)phenoxy]-3,5-bis(fluoranyl)phenyl]methoxy]-1-methyl-pyrimidin-2-one	
GPXQLFBYCIDAAI-MFJULSPGSA-N	Cc1cc2c(cc1O)CCN([C@@H]2c3ccc(cc3)/C=C/C(=O)O)CC(C)C	(E)-3-[4-(6-hydroxy-2-isobutyl-7-methyl-3,4-dihydro-1H-isoquinolin-1-yl)phenyl]prop-2-enoic acid	
ZNGLGLXWTVMUCL-UHFFFAOYSA-N	CC(C)CO[P@@](=O)(C)O	2-METHYLPROPYL HYDROGEN (R)-METHYLPHOSPHONATE	
RNPVTWTZIDCHEC-MSTPFNHUSA-N	CCc1ccc(o1)\C=C/2\C(=O)N=C(S2)N[C@@H](c3ccc(cc3)F)C(=O)NS(=O)(=O)c4ccc(cc4)[N+](=O)[O-]	(2S)-2-({(5Z)-5-[(5-ETHYL-2-FURYL)METHYLENE]-4-OXO-4,5-DIHYDRO-1,3-THIAZOL-2-YL}AMINO)-2-(4-FLUOROPHENYL)-N-[(4-NITROPHENYL)SULFONYL]ACETAMIDE	
SVYVYARVADIYRJ-INIZCTEOSA-N	C[C@@H](CCN1CCN(C1=O)c2ccncc2)CCOc3ccc(cc3)I	1-[(3S)-5-(4-iodanylphenoxy)-3-methyl-pentyl]-3-pyridin-4-yl-imidazolidin-2-one	
RDSACQWTXKSHJT-NSHDSACASA-N	COc1cc(c(c(c1NS(=O)(=O)C2(CC2)C[C@@H](CO)O)Nc3ccc(cc3F)I)F)F	N-{3,4-difluoro-2-[(2-fluoro-4-iodophenyl)amino]-6-methoxyphenyl}-1-[(2S)-2,3-dihydroxypropyl]cyclopropanesulfonamide	
