InChIKey	SMILES	Name	Synonyms
RXDVFLTWXCTCEX-UHFFFAOYSA-N	c1cc(cc(c1)NC2CCCCC2)c3c(c(c(s3)C(=O)O)OCC(=O)O)Br	4-BROMO-3-(CARBOXYMETHOXY)-5-[3-(CYCLOHEXYLAMINO)PHENYL]THIOPHENE-2-CARBOXYLIC ACID	
VLOGKAVNBJBYON-UHFFFAOYSA-N	Cc1cc(n[nH]1)NC2=NN(C(=O)c3c2ccc(c3)N4CCN(CC4)C)C(C)C	7-(4-methylpiperazin-1-yl)-4-[(5-methyl-1H-pyrazol-3-yl)amino]-2-(propan-2-yl)phthalazin-1(2H)-one	
IJEGNOYPWRBKAE-UHFFFAOYSA-N	CCCCCCC(O)(P(=O)(O)O)P(=O)(O)O	(1-HYDROXYHEPTANE-1,1-DIYL)BIS(PHOSPHONIC ACID)	
BNDOLKJAONQVEV-MOPGFXCFSA-O	C[n+]1ccc(cc1CNC(=O)[C@@H]2CCCN2C(=O)[C@@H](Cc3ccccc3)N)Cl	D-phenylalanyl-N-[(4-chloro-1-methylpyridinium-2-yl)methyl]-L-prolinamide	
JSOOUDKFWVPPEF-UHFFFAOYSA-N	CCC(C)CCCC=CCCCCCCCC(=O)O	14-methylhexadec-9-enoic acid	
NLHYHLPSUOFMHW-UHFFFAOYSA-N	c1ccc(cc1)Nc2nc(c(s2)C(=O)N)N	4-amino-2-(phenylamino)-1,3-thiazole-5-carboxamide	
RPIALZPTIFOQGC-CXLNPQPMSA-N	COc1ccc(cc1)S(=O)(=O)[N@@](C[C@H]2CCC(=O)N2)C[C@H]([C@H](Cc3ccccc3)NC(=O)O[C@@H]4C[C@@H]5CCO[C@@H]5C4)O	(3aS,5R,6aR)-hexahydro-2H-cyclopenta[b]furan-5-yl [(1S,2R)-1-benzyl-2-hydroxy-3-([(4-methoxyphenyl)sulfonyl]{[(2R)-5-oxopyrrolidin-2-yl]methyl}amino)propyl]carbamate	
GPXBXXGIAQBQNI-UHFFFAOYSA-N	CCCS(=O)(=O)Nc1ccc(c(c1F)C(=O)c2c[nH]c3c2cc(cn3)c4ccc(cc4)Cl)F	N-(3-{[5-(4-chlorophenyl)-1H-pyrrolo[2,3-b]pyridin-3-yl]carbonyl}-2,4-difluorophenyl)propane-1-sulfonamide	PLX4032
HJFONKSERLWIGE-DEOSSOPVSA-N	CC(C)[C@@H](C(=O)O)NS(=O)(=O)c1ccc(cc1)c2ccc(cc2)NC(=O)c3cc4ccccc4o3	N-({4'-[(1-BENZOFURAN-2-YLCARBONYL)AMINO]-1,1'-BIPHENYL-4-YL}SULFONYL)-L-VALINE	WAY033
RYEIPXVNZXWZFN-UHFFFAOYSA-N	CC(C)c1c(c(no1)c2c(cccc2Cl)Cl)COc3ccc(cc3)c4ccc5c(c4)cc([nH]5)C(=O)O	5-(4-{[3-(2,6-dichlorophenyl)-5-(propan-2-yl)-1,2-oxazol-4-yl]methoxy}phenyl)-1H-indole-2-carboxylic acid	
